### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"11"	"SNORA3"	"small nucleolar RNA, H/ACA box 3"	"NR_002580.1"	""
"16"	"SNORA30"	"small nucleolar RNA, H/ACA box 30"	"NR_002966.1"	""
"13"	"SNORA31"	"small nucleolar RNA, H/ACA box 31"	"NR_002967.1"	""
"11"	"SNORA32"	"small nucleolar RNA, H/ACA box 32"	"NR_003032.1"	""
"6"	"SNORA33"	"small nucleolar RNA, H/ACA box 33"	"NR_002436.1"	""
"12"	"SNORA34"	"small nucleolar RNA, H/ACA box 34"	"NR_002968.1"	""
"X"	"SNORA35"	"small nucleolar RNA, H/ACA box 35"	"NR_002993.1"	""
"X"	"SNORA36A"	"small nucleolar RNA, H/ACA box 36A"	"NR_002969.1"	""
"1"	"SNORA36B"	"small nucleolar RNA, H/ACA box 36B"	"NR_002994.2"	""
"2"	"SNORA36C"	"small nucleolar RNA, H/ACA box 36C"	"NR_003705.1"	""
"18"	"SNORA37"	"small nucleolar RNA, H/ACA box 37"	"NR_002970.1"	""
"6"	"SNORA38"	"small nucleolar RNA, H/ACA box 38"	"NR_002971.1"	""
"17"	"SNORA38B"	"small nucleolar RNA, H/ACA box 38B"	"NR_003706.2"	""
"20"	"SNORA39"	"small nucleolar RNA, H/ACA box 39"	"NR_002972.1"	""
"3"	"SNORA4"	"small nucleolar RNA, H/ACA box 4"	"NR_002588.1"	""
"11"	"SNORA40"	"small nucleolar RNA, H/ACA box 40"	"NR_002973.1"	""
"2"	"SNORA41"	"small nucleolar RNA, H/ACA box 41"	"NR_002590.1"	""
"1"	"SNORA42"	"small nucleolar RNA, H/ACA box 42"	"NR_002974.1"	""
"9"	"SNORA43"	"small nucleolar RNA, H/ACA box 43"	"NR_002975.2"	""
"1"	"SNORA44"	"small nucleolar RNA, H/ACA box 44"	"NR_002976.1"	""
"11"	"SNORA45"	"small nucleolar RNA, H/ACA box 45"	"NR_002977.1"	""
"16"	"SNORA46"	"small nucleolar RNA, H/ACA box 46"	"NR_002978.1"	""
"5"	"SNORA47"	"small nucleolar RNA, H/ACA box 47"	"NR_003014.2"	""
"17"	"SNORA48"	"small nucleolar RNA, H/ACA box 48"	"NR_002918.1"	""
"12"	"SNORA49"	"small nucleolar RNA, H/ACA box 49"	"NR_002979.2"	""
"16"	"SNORA50"	"small nucleolar RNA, H/ACA box 50"	"NR_002980.1"	""
"20"	"SNORA51"	"small nucleolar RNA, H/ACA box 51"	"NR_002981.1"	""
"11"	"SNORA52"	"small nucleolar RNA, H/ACA box 52"	"NR_002585.1"	""
"12"	"SNORA53"	"small nucleolar RNA, H/ACA box 53"	"NR_003015.1"	""
"11"	"SNORA54"	"small nucleolar RNA, H/ACA box 54"	"NR_002982.1"	""
"1"	"SNORA55"	"small nucleolar RNA, H/ACA box 55"	"NR_002983.1"	""
"X"	"SNORA56"	"small nucleolar RNA, H/ACA box 56"	"NR_002984.1"	""
"11"	"SNORA57"	"small nucleolar RNA, H/ACA box 57"	"NR_004390.1"	""
"3"	"SNORA58"	"small nucleolar RNA, H/ACA box 58"	"NR_002985.2"	""
"1"	"SNORA59A"	"small nucleolar RNA, H/ACA box 59A"	"NR_003025.1"	""
"17"	"SNORA59B"	"small nucleolar RNA, H/ACA box 59B"	"NR_003022.1"	""
"7"	"SNORA5A"	"small nucleolar RNA, H/ACA box 5A"	"NR_002919.1"	""
"7"	"SNORA5B"	"small nucleolar RNA, H/ACA box 5B"	"NR_002990.1"	""
"7"	"SNORA5C"	"small nucleolar RNA, H/ACA box 5C"	"NR_002991.1"	""
"3"	"SNORA6"	"small nucleolar RNA, H/ACA box 6"	"NR_002325.1"	""
"20"	"SNORA60"	"small nucleolar RNA, H/ACA box 60"	"NR_002986.1"	""
"1"	"SNORA61"	"small nucleolar RNA, H/ACA box 61"	"NR_002987.1"	""
"3"	"SNORA62"	"small nucleolar RNA, H/ACA box 62"	"NR_002324.1"	""
"3"	"SNORA63"	"small nucleolar RNA, H/ACA box 63"	"NR_002586.1"	""
"16"	"SNORA64"	"small nucleolar RNA, H/ACA box 64"	"NR_002326.1"	""
"9"	"SNORA65"	"small nucleolar RNA, H/ACA box 65"	"NR_002449.2"	""
"1"	"SNORA66"	"small nucleolar RNA, H/ACA box 66"	"NR_002444.2"	""
"17"	"SNORA67"	"small nucleolar RNA, H/ACA box 67"	"NR_002912.1"	""
"19"	"SNORA68"	"small nucleolar RNA, H/ACA box 68"	"NR_000012.1"	""
"X"	"SNORA69"	"small nucleolar RNA, H/ACA box 69"	"NR_002584.1"	""
"X"	"SNORA70"	"small nucleolar RNA, H/ACA box 70"	"NR_000011.1"	""
"2"	"SNORA70B"	"small nucleolar RNA, H/ACA box 70B"	"NR_003707.2"	""
"9"	"SNORA70C"	"small nucleolar RNA, H/ACA box 70C"	"NR_003708.4"	""
"16"	"SNORA70D"	"small nucleolar RNA, H/ACA box 70D"	"NR_033337.1"	""
"11"	"SNORA70E"	"small nucleolar RNA, H/ACA box 70E"	"NR_033347.1"	""
"2"	"SNORA70F"	"small nucleolar RNA, H/ACA box 70F"	"NR_033309.1"	""
"12"	"SNORA70G"	"small nucleolar RNA, H/ACA box 70G"	"NR_033335.1"	""
"20"	"SNORA71B"	"small nucleolar RNA, H/ACA box 71B"	"NR_002910.2"	""
"20"	"SNORA71C"	"small nucleolar RNA, H/ACA box 71C"	"NR_003017.2"	""
"20"	"SNORA71D"	"small nucleolar RNA, H/ACA box 71D"	"NR_003018.2"	""
"8"	"SNORA72"	"small nucleolar RNA, H/ACA box 72"	"NR_002581.1"	""
"1"	"SNORA73A"	"small nucleolar RNA, H/ACA box 73A"	"NR_002907.2"	""
"5"	"SNORA74A"	"small nucleolar RNA, H/ACA box 74A"	"NR_002915.1"	""
"5"	"SNORA74B"	"small nucleolar RNA, H/ACA box 74B"	"NR_002988.1"	""
"2"	"SNORA75"	"small nucleolar RNA, H/ACA box 75"	"NR_002921.1"	""
"17"	"SNORA76"	"small nucleolar RNA, H/ACA box 76"	"NR_002995.1"	""
"1"	"SNORA77"	"small nucleolar RNA, H/ACA box 77"	"NR_003019.1"	""
"16"	"SNORA78"	"small nucleolar RNA, H/ACA box 78"	"NR_003020.1"	""
"14"	"SNORA79"	"small nucleolar RNA, H/ACA box 79"	"NR_003021.2"	""
"3"	"SNORA7A"	"small nucleolar RNA, H/ACA box 7A"	"NR_002582.1"	""
"3"	"SNORA7B"	"small nucleolar RNA, H/ACA box 7B"	"NR_002992.2"	""
"11"	"SNORA8"	"small nucleolar RNA, H/ACA box 8"	"NR_002920.1"	""
"21"	"SNORA80"	"small nucleolar RNA, H/ACA box 80"	"NR_002996.2"	""
"2"	"SNORA80B"	"small nucleolar RNA, H/ACA box 80B"	"NR_028374.1"	""
"3"	"SNORA81"	"small nucleolar RNA, H/ACA box 81"	"NR_002989.1"	""
"9"	"SNORA84"	"small nucleolar RNA, H/ACA box 84"	"NR_003704.2"	""
"7"	"SNORA9"	"small nucleolar RNA, H/ACA box 9"	"NR_002952.1"	""
"17"	"SNORD10"	"small nucleolar RNA, C/D box 10"	"NR_002604.2"	""
"6"	"SNORD100"	"small nucleolar RNA, C/D box 100"	"NR_002435.1"	""
"6"	"SNORD101"	"small nucleolar RNA, C/D box 101"	"NR_002434.1"	""
"13"	"SNORD102"	"small nucleolar RNA, C/D box 102"	"NR_002574.1"	""
"1"	"SNORD103A"	"small nucleolar RNA, C/D box 103A"	"NR_004054.2"	""
"1"	"SNORD103B"	"small nucleolar RNA, C/D box 103B"	"NR_033295.1"	""
"17"	"SNORD104"	"small nucleolar RNA, C/D box 104"	"NR_004380.1"	""
"19"	"SNORD105"	"small nucleolar RNA, C/D box 105"	"NR_004381.1"	""
"2"	"SNORD105B"	"small nucleolar RNA, C/D box 105B"	"NR_003688.1"	""
"15"	"SNORD107"	"small nucleolar RNA, C/D box 107"	"NR_001293.1"	""
"15"	"SNORD108"	"small nucleolar RNA, C/D box 108"	"NR_001292.2"	""
"15"	"SNORD109A"	"small nucleolar RNA, C/D box 109A"	"NR_001295.1"	""
"15"	"SNORD109B"	"small nucleolar RNA, C/D box 109B"	"NR_001289.1"	""
"2"	"SNORD11"	"small nucleolar RNA, C/D box 11"	"NR_003031.1"	""
"20"	"SNORD110"	"small nucleolar RNA, C/D box 110"	"NR_003078.1"	""
"16"	"SNORD111"	"small nucleolar RNA, C/D box 111"	"NR_003079.1"	""
"16"	"SNORD111B"	"small nucleolar RNA, C/D box 111B"	"NR_037420.1"	""
"14"	"SNORD112"	"small nucleolar RNA, C/D box 112"	"NR_003080.1"	""
"14"	"SNORD113-1"	"small nucleolar RNA, C/D box 113-1"	"NR_003229.1"	""
"14"	"SNORD113-2"	"small nucleolar RNA, C/D box 113-2"	"NR_003230.1"	""
"14"	"SNORD113-3"	"small nucleolar RNA, C/D box 113-3"	"NR_003231.1"	""
"14"	"SNORD113-4"	"small nucleolar RNA, C/D box 113-4"	"NR_003232.1"	""
"14"	"SNORD113-5"	"small nucleolar RNA, C/D box 113-5"	"NR_003233.1"	""
"14"	"SNORD113-6"	"small nucleolar RNA, C/D box 113-6"	"NR_003234.1"	""
"14"	"SNORD113-7"	"small nucleolar RNA, C/D box 113-7"	"NR_003235.1"	""
"14"	"SNORD113-8"	"small nucleolar RNA, C/D box 113-8"	"NR_003236.1"	""
"14"	"SNORD113-9"	"small nucleolar RNA, C/D box 113-9"	"NR_003237.1"	""
"14"	"SNORD114-1"	"small nucleolar RNA, C/D box 114-1"	"NR_003193.1"	""
"14"	"SNORD114-10"	"small nucleolar RNA, C/D box 114-10"	"NR_003203.1"	""
"14"	"SNORD114-11"	"small nucleolar RNA, C/D box 114-11"	"NR_003204.1"	""
"14"	"SNORD114-12"	"small nucleolar RNA, C/D box 114-12"	"NR_003205.1"	""
"14"	"SNORD114-13"	"small nucleolar RNA, C/D box 114-13"	"NR_003206.1"	""
"14"	"SNORD114-14"	"small nucleolar RNA, C/D box 114-14"	"NR_003207.1"	""
"14"	"SNORD114-15"	"small nucleolar RNA, C/D box 114-15"	"NR_003208.1"	""
"14"	"SNORD114-16"	"small nucleolar RNA, C/D box 114-16"	"NR_003209.1"	""
"14"	"SNORD114-17"	"small nucleolar RNA, C/D box 114-17"	"NR_003210.1"	""
"14"	"SNORD114-18"	"small nucleolar RNA, C/D box 114-18"	"NR_003211.1"	""
"14"	"SNORD114-19"	"small nucleolar RNA, C/D box 114-19"	"NR_003212.1"	""
"14"	"SNORD114-2"	"small nucleolar RNA, C/D box 114-2"	"NR_003194.1"	""
"14"	"SNORD114-20"	"small nucleolar RNA, C/D box 114-20"	"NR_003213.1"	""
"14"	"SNORD114-21"	"small nucleolar RNA, C/D box 114-21"	"NR_003214.1"	""
"14"	"SNORD114-22"	"small nucleolar RNA, C/D box 114-22"	"NR_003215.1"	""
"14"	"SNORD114-23"	"small nucleolar RNA, C/D box 114-23"	"NR_003216.1"	""
"14"	"SNORD114-24"	"small nucleolar RNA, C/D box 114-24"	"NR_003217.1"	""
"14"	"SNORD114-25"	"small nucleolar RNA, C/D box 114-25"	"NR_003218.1"	""
"14"	"SNORD114-26"	"small nucleolar RNA, C/D box 114-26"	"NR_003219.1"	""
"14"	"SNORD114-27"	"small nucleolar RNA, C/D box 114-27"	"NR_003220.1"	""
"14"	"SNORD114-28"	"small nucleolar RNA, C/D box 114-28"	"NR_003221.1"	""
"14"	"SNORD114-29"	"small nucleolar RNA, C/D box 114-29"	"NR_003222.1"	""
"14"	"SNORD114-3"	"small nucleolar RNA, C/D box 114-3"	"NR_003195.1"	""
"14"	"SNORD114-30"	"small nucleolar RNA, C/D box 114-30"	"NR_003223.1"	""
"14"	"SNORD114-31"	"small nucleolar RNA, C/D box 114-31"	"NR_003224.1"	""
"14"	"SNORD114-4"	"small nucleolar RNA, C/D box 114-4"	"NR_003196.1"	""
"14"	"SNORD114-5"	"small nucleolar RNA, C/D box 114-5"	"NR_003197.1"	""
"14"	"SNORD114-6"	"small nucleolar RNA, C/D box 114-6"	"NR_003198.1"	""
"14"	"SNORD114-7"	"small nucleolar RNA, C/D box 114-7"	"NR_003199.1"	""
"14"	"SNORD114-8"	"small nucleolar RNA, C/D box 114-8"	"NR_003200.1"	""
"14"	"SNORD114-9"	"small nucleolar RNA, C/D box 114-9"	"NR_003201.1"	""
"15"	"SNORD115-1"	"small nucleolar RNA, C/D box 115-1"	"NR_001291.2"	""
"15"	"SNORD115-10"	"small nucleolar RNA, C/D box 115-10"	"NR_003302.1"	""
"15"	"SNORD115-11"	"small nucleolar RNA, C/D box 115-11"	"NR_003303.1"	""
"15"	"SNORD115-12"	"small nucleolar RNA, C/D box 115-12"	"NR_003304.1"	""
"15"	"SNORD115-13"	"small nucleolar RNA, C/D box 115-13"	"NR_003305.1"	""
"15"	"SNORD115-14"	"small nucleolar RNA, C/D box 115-14"	"NR_003306.1"	""
"15"	"SNORD115-15"	"small nucleolar RNA, C/D box 115-15"	"NR_003307.1"	""
"15"	"SNORD115-16"	"small nucleolar RNA, C/D box 115-16"	"NR_003308.1"	""
"15"	"SNORD115-17"	"small nucleolar RNA, C/D box 115-17"	"NR_003309.1"	""
"15"	"SNORD115-18"	"small nucleolar RNA, C/D box 115-18"	"NR_003310.1"	""
"15"	"SNORD115-19"	"small nucleolar RNA, C/D box 115-19"	"NR_003311.1"	""
"15"	"SNORD115-2"	"small nucleolar RNA, C/D box 115-2"	"NR_003294.1"	""
"15"	"SNORD115-20"	"small nucleolar RNA, C/D box 115-20"	"NR_003312.1"	""
"15"	"SNORD115-21"	"small nucleolar RNA, C/D box 115-21"	"NR_003313.1"	""
"15"	"SNORD115-22"	"small nucleolar RNA, C/D box 115-22"	"NR_003314.1"	""
"15"	"SNORD115-23"	"small nucleolar RNA, C/D box 115-23"	"NR_003315.1"	""
"15"	"SNORD115-24"	"small nucleolar RNA, C/D box 115-24"	"NR_003495.1"	""
"15"	"SNORD115-25"	"small nucleolar RNA, C/D box 115-25"	"NR_003342.1"	""
"15"	"SNORD115-26"	"small nucleolar RNA, C/D box 115-26"	"NR_003343.1"	""
"15"	"SNORD115-27"	"small nucleolar RNA, C/D box 115-27"	"NR_003496.1"	""
"15"	"SNORD115-28"	"small nucleolar RNA, C/D box 115-28"	"NR_003497.1"	""
"15"	"SNORD115-29"	"small nucleolar RNA, C/D box 115-29"	"NR_003344.1"	""
"15"	"SNORD115-3"	"small nucleolar RNA, C/D box 115-3"	"NR_003295.1"	""
"15"	"SNORD115-30"	"small nucleolar RNA, C/D box 115-30"	"NR_003345.1"	""
"15"	"SNORD115-31"	"small nucleolar RNA, C/D box 115-31"	"NR_003346.1"	""
"15"	"SNORD115-32"	"small nucleolar RNA, C/D box 115-32"	"NR_003347.1"	""
"15"	"SNORD115-33"	"small nucleolar RNA, C/D box 115-33"	"NR_003348.1"	""
"15"	"SNORD115-34"	"small nucleolar RNA, C/D box 115-34"	"NR_003349.1"	""
"15"	"SNORD115-35"	"small nucleolar RNA, C/D box 115-35"	"NR_003350.1"	""
"15"	"SNORD115-36"	"small nucleolar RNA, C/D box 115-36"	"NR_003351.1"	""
"15"	"SNORD115-37"	"small nucleolar RNA, C/D box 115-37"	"NR_003352.1"	""
"15"	"SNORD115-38"	"small nucleolar RNA, C/D box 115-38"	"NR_003353.1"	""
"15"	"SNORD115-39"	"small nucleolar RNA, C/D box 115-39"	"NR_003354.1"	""
"15"	"SNORD115-4"	"small nucleolar RNA, C/D box 115-4"	"NR_003296.1"	""
"15"	"SNORD115-40"	"small nucleolar RNA, C/D box 115-40"	"NR_003355.1"	""
"15"	"SNORD115-41"	"small nucleolar RNA, C/D box 115-41"	"NR_003356.1"	""
"15"	"SNORD115-42"	"small nucleolar RNA, C/D box 115-42"	"NR_003357.1"	""
"15"	"SNORD115-43"	"small nucleolar RNA, C/D box 115-43"	"NR_003358.1"	""
"15"	"SNORD115-44"	"small nucleolar RNA, C/D box 115-44"	"NR_003359.1"	""
"15"	"SNORD115-45"	"small nucleolar RNA, C/D box 115-45"	"NR_003498.1"	""
"15"	"SNORD115-47"	"small nucleolar RNA, C/D box 115-47"	"NR_003499.1"	""
"15"	"SNORD115-48"	"small nucleolar RNA, C/D box 115-48"	"NR_003362.1"	""
"15"	"SNORD115-5"	"small nucleolar RNA, C/D box 115-5"	"NR_003297.1"	""
"15"	"SNORD115-6"	"small nucleolar RNA, C/D box 115-6"	"NR_003298.1"	""
"15"	"SNORD115-7"	"small nucleolar RNA, C/D box 115-7"	"NR_003299.1"	""
"15"	"SNORD115-8"	"small nucleolar RNA, C/D box 115-8"	"NR_003300.1"	""
"15"	"SNORD115-9"	"small nucleolar RNA, C/D box 115-9"	"NR_003301.1"	""
"15"	"SNORD116-1"	"small nucleolar RNA, C/D box 116-1"	"NR_003316.1"	""
"15"	"SNORD116-10"	"small nucleolar RNA, C/D box 116-10"	"NR_003325.1"	""
"15"	"SNORD116-11"	"small nucleolar RNA, C/D box 116-11"	"NR_003326.2"	""
"15"	"SNORD116-12"	"small nucleolar RNA, C/D box 116-12"	"NR_003327.2"	""
"15"	"SNORD116-13"	"small nucleolar RNA, C/D box 116-13"	"NR_003328.2"	""
"15"	"SNORD116-14"	"small nucleolar RNA, C/D box 116-14"	"NR_003329.2"	""
"15"	"SNORD116-15"	"small nucleolar RNA, C/D box 116-15"	"NR_003330.2"	""
"15"	"SNORD116-16"	"small nucleolar RNA, C/D box 116-16"	"NR_003331.2"	""
"15"	"SNORD116-17"	"small nucleolar RNA, C/D box 116-17"	"NR_003332.1"	""
"15"	"SNORD116-18"	"small nucleolar RNA, C/D box 116-18"	"NR_003333.2"	""
"15"	"SNORD116-19"	"small nucleolar RNA, C/D box 116-19"	"NR_001290.2"	""
"15"	"SNORD116-2"	"small nucleolar RNA, C/D box 116-2"	"NR_003317.1"	""
"15"	"SNORD116-20"	"small nucleolar RNA, C/D box 116-20"	"NR_003334.2"	""
"15"	"SNORD116-21"	"small nucleolar RNA, C/D box 116-21"	"NR_003335.2"	""
"15"	"SNORD116-22"	"small nucleolar RNA, C/D box 116-22"	"NR_003336.2"	""
"15"	"SNORD116-23"	"small nucleolar RNA, C/D box 116-23"	"NR_003337.2"	""
"15"	"SNORD116-24"	"small nucleolar RNA, C/D box 116-24"	"NR_003338.2"	""
"15"	"SNORD116-25"	"small nucleolar RNA, C/D box 116-25"	"NR_003339.2"	""
"15"	"SNORD116-26"	"small nucleolar RNA, C/D box 116-26"	"NR_003340.2"	""
"15"	"SNORD116-27"	"small nucleolar RNA, C/D box 116-27"	"NR_003341.2"	""
"15"	"SNORD116-28"	"small nucleolar RNA, C/D box 116-28"	"NR_003361.1"	""
"15"	"SNORD116-29"	"small nucleolar RNA, C/D box 116-29"	"NR_003360.1"	""
"15"	"SNORD116-3"	"small nucleolar RNA, C/D box 116-3"	"NR_003318.1"	""
"15"	"SNORD116-4"	"small nucleolar RNA, C/D box 116-4"	"NR_003319.1"	""
"15"	"SNORD116-5"	"small nucleolar RNA, C/D box 116-5"	"NR_003320.1"	""
"15"	"SNORD116-6"	"small nucleolar RNA, C/D box 116-6"	"NR_003321.1"	""
"15"	"SNORD116-7"	"small nucleolar RNA, C/D box 116-7"	"NR_003322.1"	""
"15"	"SNORD116-8"	"small nucleolar RNA, C/D box 116-8"	"NR_003323.1"	""
"15"	"SNORD116-9"	"small nucleolar RNA, C/D box 116-9"	"NR_003324.1"	""
"6"	"SNORD117"	"small nucleolar RNA, C/D box 117"	"NR_003140.1"	""
"17"	"SNORD118"	"small nucleolar RNA, C/D box 118"	"NR_033294.1"	""
"20"	"SNORD119"	"small nucleolar RNA, C/D box 119"	"NR_003684.1"	""
"20"	"SNORD12"	"small nucleolar RNA, C/D box 12"	"NR_003030.1"	""
"9"	"SNORD121A"	"small nucleolar RNA, C/D box 121A"	"NR_003685.1"	""
"9"	"SNORD121B"	"small nucleolar RNA, C/D box 121B"	"NR_003690.2"	""
"5"	"SNORD123"	"small nucleolar RNA, C/D box 123"	"NR_003689.1"	""
"17"	"SNORD124"	"small nucleolar RNA, C/D box 124"	"NR_003692.2"	""
"22"	"SNORD125"	"small nucleolar RNA, C/D box 125"	"NR_003686.1"	""
"14"	"SNORD126"	"small nucleolar RNA, C/D box 126"	"NR_003693.1"	""
"14"	"SNORD127"	"small nucleolar RNA, C/D box 127"	"NR_003691.1"	""
"19"	"SNORD12B"	"small nucleolar RNA, C/D box 12B"	"NR_003695.1"	""
"20"	"SNORD12C"	"small nucleolar RNA, C/D box 12C"	"NR_002433.1"	""
"8"	"SNORD13"	"small nucleolar RNA, C/D box 13"	"NR_003041.1"	""
"11"	"SNORD14A"	"small nucleolar RNA, C/D box 14A"	"NR_000022.1"	""
"11"	"SNORD14B"	"small nucleolar RNA, C/D box 14B"	"NR_001452.1"	""
"11"	"SNORD14C"	"small nucleolar RNA, C/D box 14C"	"NR_001453.2"	""
"11"	"SNORD14D"	"small nucleolar RNA, C/D box 14D"	"NR_001454.2"	""
"11"	"SNORD14E"	"small nucleolar RNA, C/D box 14E"	"NR_003125.2"	""
"11"	"SNORD15A"	"small nucleolar RNA, C/D box 15A"	"NR_000005.1"	""
"11"	"SNORD15B"	"small nucleolar RNA, C/D box 15B"	"NR_000025.1"	""
"15"	"SNORD16"	"small nucleolar RNA, C/D box 16"	"NR_002440.1"	""
"20"	"SNORD17"	"small nucleolar RNA, C/D box 17"	"NR_003045.1"	""
"15"	"SNORD18B"	"small nucleolar RNA, C/D box 18B"	"NR_002442.1"	""
"15"	"SNORD18C"	"small nucleolar RNA, C/D box 18C"	"NR_002443.1"	""
"3"	"SNORD19"	"small nucleolar RNA, C/D box 19"	"NR_003047.1"	""
"3"	"SNORD19B"	"small nucleolar RNA, C/D box 19B"	"NR_003687.1"	""
"17"	"SNORD1A"	"small nucleolar RNA, C/D box 1A"	"NR_004395.1"	""
"17"	"SNORD1C"	"small nucleolar RNA, C/D box 1C"	"NR_004397.1"	""
"3"	"SNORD2"	"small nucleolar RNA, C/D box 2"	"NR_002587.1"	""
"2"	"SNORD20"	"small nucleolar RNA, C/D box 20"	"NR_002908.1"	""
"1"	"SNORD21"	"small nucleolar RNA, C/D box 21"	"NR_000006.8"	""
"11"	"SNORD22"	"small nucleolar RNA, C/D box 22"	"NR_000008.2"	""
"19"	"SNORD23"	"small nucleolar RNA, C/D box 23"	"NR_003048.1"	""
"9"	"SNORD24"	"small nucleolar RNA, C/D box 24"	"NR_002447.1"	""
"11"	"SNORD25"	"small nucleolar RNA, C/D box 25"	"NR_002565.1"	""
"11"	"SNORD26"	"small nucleolar RNA, C/D box 26"	"NR_002564.1"	""
"11"	"SNORD27"	"small nucleolar RNA, C/D box 27"	"NR_002563.1"	""
"11"	"SNORD28"	"small nucleolar RNA, C/D box 28"	"NR_002562.1"	""
"11"	"SNORD29"	"small nucleolar RNA, C/D box 29"	"NR_002559.1"	""
"11"	"SNORD30"	"small nucleolar RNA, C/D box 30"	"NR_002561.1"	""
"11"	"SNORD31"	"small nucleolar RNA, C/D box 31"	"NR_002560.1"	""
"19"	"SNORD32A"	"small nucleolar RNA, C/D box 32A"	"NR_000021.1"	""
"6"	"SNORD32B"	"small nucleolar RNA, C/D box 32B"	"NR_003049.1"	""
"19"	"SNORD33"	"small nucleolar RNA, C/D box 33"	"NR_000020.1"	""
"19"	"SNORD34"	"small nucleolar RNA, C/D box 34"	"NR_000019.1"	""
"19"	"SNORD35A"	"small nucleolar RNA, C/D box 35A"	"NR_000018.1"	""
"19"	"SNORD35B"	"small nucleolar RNA, C/D box 35B"	"NR_001285.1"	""
"9"	"SNORD36A"	"small nucleolar RNA, C/D box 36A"	"NR_002448.1"	""
"9"	"SNORD36B"	"small nucleolar RNA, C/D box 36B"	"NR_000017.1"	""
"9"	"SNORD36C"	"small nucleolar RNA, C/D box 36C"	"NR_000016.1"	""
"19"	"SNORD37"	"small nucleolar RNA, C/D box 37"	"NR_002602.1"	""
"1"	"SNORD38A"	"small nucleolar RNA, C/D box 38A"	"NR_001456.1"	""
"1"	"SNORD38B"	"small nucleolar RNA, C/D box 38B"	"NR_001457.1"	""
"17"	"SNORD3A"	"small nucleolar RNA, C/D box 3A"	"NR_006880.1"	""
"17"	"SNORD3B-1"	"small nucleolar RNA, C/D box 3B-1"	"NR_003271.1"	""
"17"	"SNORD3B-2"	"small nucleolar RNA, C/D box 3B-2"	"NR_003924.1"	""
"17"	"SNORD3C"	"small nucleolar RNA, C/D box 3C"	"NR_006881.1"	""
"17"	"SNORD3D"	"small nucleolar RNA, C/D box 3D"	"NR_006882.1"	""
"19"	"SNORD41"	"small nucleolar RNA, C/D box 41"	"NR_002751.1"	""
"17"	"SNORD42A"	"small nucleolar RNA, C/D box 42A"	"NR_000014.1"	""
"17"	"SNORD42B"	"small nucleolar RNA, C/D box 42B"	"NR_000013.1"	""
"22"	"SNORD43"	"small nucleolar RNA, C/D box 43"	"NR_002439.1"	""
"1"	"SNORD44"	"small nucleolar RNA, C/D box 44"	"NR_002750.2"	""
"1"	"SNORD45A"	"small nucleolar RNA, C/D box 45A"	"NR_002749.1"	""
"1"	"SNORD45B"	"small nucleolar RNA, C/D box 45B"	"NR_002748.1"	""
"1"	"SNORD45C"	"small nucleolar RNA, C/D box 45C"	"NR_003042.1"	""
"1"	"SNORD46"	"small nucleolar RNA, C/D box 46"	"NR_000024.2"	""
"1"	"SNORD47"	"small nucleolar RNA, C/D box 47"	"NR_002746.1"	""
"6"	"SNORD48"	"small nucleolar RNA, C/D box 48"	"NR_002745.1"	""
"17"	"SNORD49A"	"small nucleolar RNA, C/D box 49A"	"NR_002744.1"	""
"17"	"SNORD49B"	"small nucleolar RNA, C/D box 49B"	"NR_003043.1"	""
"17"	"SNORD4A"	"small nucleolar RNA, C/D box 4A"	"NR_000010.1"	""
"17"	"SNORD4B"	"small nucleolar RNA, C/D box 4B"	"NR_000009.1"	""
"11"	"SNORD5"	"small nucleolar RNA, C/D box 5"	"NR_003033.1"	""
"6"	"SNORD50A"	"small nucleolar RNA, C/D box 50A"	"NR_002743.2"	""
"6"	"SNORD50B"	"small nucleolar RNA, C/D box 50B"	"NR_003044.3"	""
"2"	"SNORD51"	"small nucleolar RNA, C/D box 51"	"NR_002589.1"	""
"6"	"SNORD52"	"small nucleolar RNA, C/D box 52"	"NR_002742.2"	""
"2"	"SNORD53"	"small nucleolar RNA, C/D box 53"	"NR_002741.1"	""
"8"	"SNORD54"	"small nucleolar RNA, C/D box 54"	"NR_002437.1"	""
"1"	"SNORD55"	"small nucleolar RNA, C/D box 55"	"NR_000015.2"	""
"20"	"SNORD56"	"small nucleolar RNA, C/D box 56"	"NR_002739.1"	""
"14"	"SNORD56B"	"small nucleolar RNA, C/D box 56B"	"NR_001276.1"	""
"20"	"SNORD57"	"small nucleolar RNA, C/D box 57"	"NR_002738.1"	""
"18"	"SNORD58A"	"small nucleolar RNA, C/D box 58A"	"NR_002571.1"	""
"18"	"SNORD58B"	"small nucleolar RNA, C/D box 58B"	"NR_002572.1"	""
"18"	"SNORD58C"	"small nucleolar RNA, C/D box 58C"	"NR_003701.1"	""
"12"	"SNORD59A"	"small nucleolar RNA, C/D box 59A"	"NR_002737.1"	""
"12"	"SNORD59B"	"small nucleolar RNA, C/D box 59B"	"NR_003046.1"	""
"11"	"SNORD6"	"small nucleolar RNA, C/D box 6"	"NR_003036.1"	""
"16"	"SNORD60"	"small nucleolar RNA, C/D box 60"	"NR_002736.1"	""
"X"	"SNORD61"	"small nucleolar RNA, C/D box 61"	"NR_002735.1"	""
